SnomedCTConceptId,Preferred term,Body region,,,,,,,,,,
1003721002,Pain of joint of knee ,KNE,,,,,,,,,,
1003722009,Pain of knee region,KNE,,,,,,,,,,
10085004,Metatarsalgia,FOT,,,,,,,,,,
102556003,Pain in upper limb,ARM,,,,,,,,,,
102570003,Inguinal pain,HIP/LEG ,,,,,,,,,,
103014001,Cervical nerve root pain,NCK,,,,,,,,,,
10380004,Crushing injury of finger,FTB,,,,,,,,,,
105606008,Injury of musculoskeletal system,UNS,,,,,,,,,,
10601006,Pain in lower limb,LEG,,,,,,,,,,
1088071000000108,Pain in upper arm,ARM,,,,,,,,,,
11049006,Cervical radiculitis,NCK,,,,,,,,,,
111222003,Derangement of medial meniscus,KNE,,,,,,,,,,
111243002,Bursitis of knee,KNE,,,,,,,,,,
111640008,Closed fracture of radius,ARM,,,,,,,,,,
1126007,Knee locking,KNE,,,,,,,,,,
11654001,Achilles tendinitis,ANK/LEG,,,,,,,,,,
118952005,Joint finding,UNS,,,,,,,,,,
122481008,Hammer toe,TOE,,,,,,,,,,
123536004,Sprain of upper extremity,ARM/SHD,,,,,,,,,,
12519004,Sprain of sacroiliac ligament,BCK/HIP,,,,,,,,,,
125594001,Injury of shoulder region,SHD,,,,,,,,,,
125596004,Injury of elbow,ELB,,,,,,,,,,
125597008,Injury of forearm,ARM,,,,,,,,,,
125598003,Injury of wrist,WRT,,,,,,,,,,
125599006,Injury of hand,HND,,,,,,,,,,
125600009,Injury of hip region,HIP,,,,,,,,,,
125601008,Injury of knee,KNE,,,,,,,,,,
125602001,Injury of lower leg,LEG,,,,,,,,,,
125603006,Injury of ankle,ANK ,,,,,,,,,,
125604000,Injury of foot,FOT,,,,,,,,,,
125605004,Fracture of bone,UNS,,,,,,,,,,
125606003,Fracture of cervical spine,NCK,,,,,,,,,,
125607007,Fracture of thoracic spine,TXS,,,,,,,,,,
125608002,Fracture of lumbar spine,BCK,,,,,,,,,,
12584003,Bone pain,UNS,,,,,,,,,,
12676007,Fracture of radius,WRT/ARM,,,,,,,,,,
127278005,Injury of upper extremity,ARM,,,,,,,,,,
127279002,Injury of lower extremity,HIP,,,,,,,,,,
129179000,Piriformis syndrome,HIP/BCK,,,,,,,,,,
134407002,Chronic back pain,BCK,,,,,,,,,,
135897006,Salter-Harris type II,UNS,,,,,,,,,,
13695006,Fracture of pubic rami,HIP,,,,,,,,,,
1539003,Acquired trigger finger,FTB,,,,,,,,,,
157265008,Dislocation of hip joint,HIP,,,,,,,,,,
157266009,Dislocation of knee joint ,KNE,,,,,,,,,,
16114001,Fracture of ankle,ANK ,,,,,,,,,,
161880003,Stiff neck symptom,NCK,,,,,,,,,,
161882006,Stiff neck,NCK,,,,,,,,,,
161891005,Backache,BCK,,,,,,,,,,
161892003,Backache with radiation,BCK,,,,,,,,,,
161894002,Complaining of low back pain,BCK,,,,,,,,,,
161896000,Complaining of upper back ache,TXS/BCK,,,,,,,,,,
162411004,Complaining of stiffness,UNS,,,,,,,,,,
162429009,Symptom: upper limb,ARM,,,,,,,,,,
16250001000004107,Fracture of shoulder,SHD,,,,,,,,,,
164539000,O/E - joint movement painful,UNS,,,,,,,,,,
17059001,Prepatellar bursitis,KNE,,,,,,,,,,
17222009,Closed fracture of distal end of radius,WRT,,,,,,,,,,
17883008,Sprain of hip,HIP,,,,,,,,,,
18171007,Fracture of phalanx of finger,FTB,,,,,,,,,,
18347007,Spinal stenosis of lumbar region,BCK,,,,,,,,,,
18876004,Pain in finger,FTB,,,,,,,,,,
19660004,Disorder of soft tissue,UNS,,,,,,,,,,
201819000,Degenerative joint disease involving multiple joints,MSW,,,,,,,,,,
201837004,Localized primary osteoarthritis of the ankle and/or foot,ANK/FOT,,,,,,,,,,
202031002,Generalised arthritis,MSW,,,,,,,,,,
202246002,Recurrent dislocation of the patellofemoral joint,KNE,,,,,,,,,,
202336002,Acetabular labrum tear,SHD,,,,,,,,,,
202381003,Knee joint effusion,KNE,,,,,,,,,,
202472008,Hand joint pain,HND,,,,,,,,,,
202479004,Acromioclavicular joint pain,SHD,,,,,,,,,,
202480001,Elbow joint pain,ELB,,,,,,,,,,
202482009,Wrist joint pain,WRT,,,,,,,,,,
202487003,Sacroiliac joint pain,BCK/HIP,,,,,,,,,,
202490009,Ankle joint pain,ANK ,,,,,,,,,,
202596000,Clicking joint,UNS,,,,,,,,,,
202606004,Clicking hip,HIP,,,,,,,,,,
202609006,Clicking knee,KNE,,,,,,,,,,
202664003,Cervical myelopathy,NCK,,,,,,,,,,
202683005,Cervical spondylosis with radiculopathy,NCK,,,,,,,,,,
202693003,Lumbosacral spondylosis with radiculopathy,BCK,,,,,,,,,,
202708005,Prolapsed lumbar intervertebral disc,BCK,,,,,,,,,,
202732003,Disc prolapse with radiculopathy,SPN,,,,,,,,,,
202733008,Cervical disc prolapse with radiculopathy,NCK,,,,,,,,,,
202735001,Lumbar disc prolapse with radiculopathy,BCK,,,,,,,,,,
202752002,Lumbar discitis,BCK,,,,,,,,,,
202757008,Cervical disc disorder with radiculopathy,NCK,,,,,,,,,,
202788007,Degenerative lumbar spinal stenosis,BCK,,,,,,,,,,
202794004,Lumbago with sciatica,BCK,,,,,,,,,,
202805003,Sacroiliac disorder,BCK/HIP,,,,,,,,,,
202841003,Supraspinatus tendinitis,SHD,,,,,,,,,,
202842005,Partial thickness rotator cuff tear,SHD,,,,,,,,,,
202843000,Full thickness rotator cuff tear,SHD,,,,,,,,,,
202849001,Subacromial impingement,SHD,,,,,,,,,,
202855006,Lateral epicondylitis,ELB,,,,,,,,,,
202856007,Biceps tendinitis,ARM,,,,,,,,,,
202863007,Adductor tendinitis,HIP,,,,,,,,,,
202881005,Tibialis posterior tendinitis,LEG,,,,,,,,,,
202882003,Plantar fasciitis,FOT,,,,,,,,,,
202888004,Anterior shin splints,LEG,,,,,,,,,,
202900007,Synovitis and tenosynovitis,UNS,,,,,,,,,,
202914007,Extensor tenosynovitis of wrist,WRT,,,,,,,,,,
202916009,Extensor tenosynovitis of thumb,FTB,,,,,,,,,,
202936005,"Ganglion and cyst of synovium, tendon and bursa",UNS,,,,,,,,,,
202942009,Ganglion of wrist,WRT,,,,,,,,,,
203045001,Dupuytren's disease of palm,HND,,,,,,,,,,
203082005,Fibromyalgia,MSW,,,,,,,,,,
203095000,Spasm of back muscles,BCK,,,,,,,,,,
203131005,Tender heel pad,FOT,,,,,,,,,,
203509009,Clavicle pain,SHD,,,,,,,,,,
203534009,Acquired pes planus,FOT,,,,,,,,,,
203601000,Acquired unequal leg length,LEG,,,,,,,,,,
203638000,Kyphoscoliosis and scoliosis,TXS/BCK,,,,,,,,,,
203639008,Idiopathic scoliosis,BCK,,,,,,,,,,
203645000,Postural scoliosis,BCK,,,,,,,,,,
203681002,Acquired spondylolisthesis,BCK,,,,,,,,,,
20511007,Fracture of hand,HND,,,,,,,,,,
207940009,Closed fracture thoracic vertebra wedge,TXS,,,,,,,,,,
207957008,Closed fracture lumbar vertebra,BCK,,,,,,,,,,
207959006,"Closed fracture lumbar vertebra, wedge",BCK,,,,,,,,,,
208145002,Fracture or disruption of pelvis,HIP,,,,,,,,,,
208165009,Closed fracture pelvis single pubic ramus,HIP,,,,,,,,,,
208166005,Closed fracture pelvis multiple pubic rami - stable,HIP,,,,,,,,,,
208240004,"Closed fracture proximal humerus, neck",ARM/SHD,,,,,,,,,,
208242007,"Closed fracture proximal humerus, greater tuberosity",ARM,,,,,,,,,,
208294009,"Closed fracture olecranon, extra-articular",ELB,,,,,,,,,,
208325003,Closed fracture radial styloid,WRT,,,,,,,,,,
208388003,Fracture at wrist and/or hand level,WRT/HND,,,,,,,,,,
208393000,Fracture of metacarpal bone,WRT/HND,,,,,,,,,,
208394006,Closed fracture of metacarpal bone,HND,,,,,,,,,,
208399001,Closed fracture finger metacarpal neck,HND,,,,,,,,,,
208401007,Closed fracture finger metacarpal,HND,,,,,,,,,,
208430000,Closed fracture of one or more phalanges of hand,FTB,,,,,,,,,,
208444006,Closed fracture finger proximal phalanx,FTB,,,,,,,,,,
208450001,Closed fracture finger middle phalanx,FTB,,,,,,,,,,
208634001,Closed fracture distal tibia,LEG,,,,,,,,,,
208687001,Closed fracture metatarsal base,FOT,,,,,,,,,,
208710000,"Closed fracture proximal phalanx, toe",TOE,,,,,,,,,,
208712008,"Closed fracture distal phalanx, toe",TOE,,,,,,,,,,
208719004,Fracture of great toe,TOE,,,,,,,,,,
2089002,Paget's disease of bone,UNS,,,,,,,,,,
208916003,Acute meniscal tear medial posterior horn,KNE,,,,,,,,,,
208921000,Acute meniscal tear lateral,KNE,,,,,,,,,,
209238002,Closed fracture dislocation shoulder joint,SHD,,,,,,,,,,
209354002,Closed fracture dislocation foot,FOT,,,,,,,,,,
209409002,Sprains and strains of joints and adjacent muscles,UNS,,,,,,,,,,
209436000,Sprain of wrist and/or hand,WRT/HND,,,,,,,,,,
209520004,Partial tear knee anterior cruciate ligament,KNE,,,,,,,,,,
209529003,Sprain of ankle and/or foot,ANK/FOT,,,,,,,,,,
209532000,"Sprain, ankle joint, lateral",ANK ,,,,,,,,,,
209557005,Neck sprain,NCK,,,,,,,,,,
209565008,Lumbar sprain,BCK,,,,,,,,,,
209574005,Pulled back muscle,BCK,,,,,,,,,,
209629006,Complete tear knee anterior cruciate ligament,KNE,,,,,,,,,,
209812006,"Sprain, symphysis pubis",HIP,,,,,,,,,,
21351003,Fracture of phalanx of foot,TOE,,,,,,,,,,
21698002,Open fracture of phalanx of finger,FTB,,,,,,,,,,
21794005,Radial styloid tenosynovitis,WRT,,,,,,,,,,
221695002,Achilles bursitis,ANK/FOT,,,,,,,,,,
22193007,Degenerative joint disease of hand,HND,,,,,,,,,,
228158008,Difficulty in walking,UNS,,,,,,,,,,
22817005,Strain of Achilles tendon,ANK/LEG,,,,,,,,,,
22878006,Contusion of knee,KNE,,,,,,,,,,
23056005,Sciatica,BCK/LEG,,,,,,,,,,
23382007,Stress fracture,UNS,,,,,,,,,,
23406007,Fracture of upper limb,ARM,,,,,,,,,,
23482006,Avulsion fracture,UNS,,,,,,,,,,
235231000119100,Osteophyte of bone,UNS,,,,,,,,,,
23680005,Enthesopathy,UNS,,,,,,,,,,
239720000,Tear of meniscus of knee,KNE,,,,,,,,,,
239732001,Disorder of patellofemoral joint,KNE,,,,,,,,,,
239733006,Anterior knee pain,KNE,,,,,,,,,,
239863005,Osteoarthritis of spinal facet joint,SPN,,,,,,,,,,
239865003,Osteoarthritis of acromioclavicular joint,SHD,,,,,,,,,,
239866002,Osteoarthritis of elbow,ELB,,,,,,,,,,
239867006,Osteoarthritis of wrist,WRT,,,,,,,,,,
239868001,Osteoarthritis of finger joint,FTB,,,,,,,,,,
239872002,Osteoarthritis of hip,HIP,,,,,,,,,,
239873007,Osteoarthritis of knee,KNE,,,,,,,,,,
239874001,Osteoarthritis of ankle,ANK ,,,,,,,,,,
239877008,Osteoarthritis of first metatarsophalangeal joint,FOT/TOE,,,,,,,,,,
239878003,Osteoarthritis of toe joint,TOE,,,,,,,,,,
239880009,Lumbar spondylosis,BCK,,,,,,,,,,
239960007,Impingement syndrome of shoulder,SHD,,,,,,,,,,
239961006,Bursitis of shoulder,SHD,,,,,,,,,,
240003004,Suprapatellar bursitis,KNE,,,,,,,,,,
240008008,Synovial cyst of knee,KNE,,,,,,,,,,
240131006,Rhabdomyolysis,UNS,,,,,,,,,,
240203005,Rupture of Baker's cyst - knee,KNE,,,,,,,,,,
240205003,Synovial cyst,UNS,,,,,,,,,,
240261009,Generalised benign joint hypermobility,MSW,,,,,,,,,,
240631000000102,Suspected fracture or dislocation,UNS,,,,,,,,,,
24424003,Closed fracture of phalanx of finger,FTB,,,,,,,,,,
24693007,Myofascial pain syndrome,MSW,,,,,,,,,,
247366003,Acute back pain with sciatica,BCK,,,,,,,,,,
247369005,Facet joint pain,SPN,,,,,,,,,,
247373008,Ankle pain,ANK ,,,,,,,,,,
248491001,Swollen knee,KNE,,,,,,,,,,
250082003,Hand cramps,HND,,,,,,,,,,
250102002,Unstable knee,KNE,,,,,,,,,,
25415003,Closed fracture of femur,LEG,,,,,,,,,,
25899002,Closed bimalleolar fracture,ANK ,,,,,,,,,,
262520005,Thumb injury,FTB,,,,,,,,,,
262965006,Strain of back muscle,BCK,,,,,,,,,,
262971000,Tendon injury - hand,HND,,,,,,,,,,
262981001,Rupture of gastrocnemius tendon,LEG,,,,,,,,,,
262992000,Hamstring sprain,LEG,,,,,,,,,,
263021005,Anterior dislocation of shoulder joint,SHD,,,,,,,,,,
263051004,Subluxation of shoulder joint ,SHD,,,,,,,,,,
263054007,Subluxation of finger,FTB,,,,,,,,,,
263055008,Subluxation of thumb,FTB,,,,,,,,,,
263058005,Subluxation of knee joint,KNE,,,,,,,,,,
263084004,Fracture dislocation of finger or thumb,FTB,,,,,,,,,,
263128001,Sprain of ligament of elbow,ELB,,,,,,,,,,
263129009,Sprain of ligament of finger,FTB,,,,,,,,,,
263130004,Sprain of ligament of thumb,FTB,,,,,,,,,,
263133002,Sprain of lateral ligament of ankle joint,ANK ,,,,,,,,,,
263199001,Fracture of distal end of radius,ARM/WRT,,,,,,,,,,
263225007,Fracture of proximal end of femur,HIP,,,,,,,,,,
263233008,"Closed fracture of femur, distal end",LEG/KNE,,,,,,,,,,
263244000,Bimalleolar fracture of ankle,ANK ,,,,,,,,,,
263246003,Fracture of talus,FOT,,,,,,,,,,
263247007,Fracture of calcaneus,FOT,,,,,,,,,,
263251009,Metatarsal bone fracture,FOT,,,,,,,,,,
26538006,Degeneration of lumbar intervertebral disc,BCK,,,,,,,,,,
267039000,Swollen ankle,ANK ,,,,,,,,,,
267109007,Symptom of ankle or foot,ANK/FOT,,,,,,,,,,
267889007,Generalised osteoarthritis of the hand,HND,,,,,,,,,,
267949000,Shoulder joint pain,SHD,,,,,,,,,,
267953003,Arthralgia of the lower leg,LEG,,,,,,,,,,
267954009,Arthralgia of the ankle and/or foot,ANK/FOT,,,,,,,,,,
267970006,Cervical spondylosis without myelopathy,NCK,,,,,,,,,,
267981009,Pain in thoracic spine,TXS,,,,,,,,,,
267982002,Pain in lumbar spine,BCK,,,,,,,,,,
269062008,Closed fracture of cervical spine,NCK,,,,,,,,,,
269080004,Closed fracture of lower end of humerus,ARM/ELB,,,,,,,,,,
269083002,Closed Colles' fracture,WRT,,,,,,,,,,
269105005,Dislocation or subluxation of shoulder,SHD,,,,,,,,,,
269111008,Dislocation or subluxation of finger or thumb,FTB,,,,,,,,,,
269112001,Dislocation or subluxation of knee,KNE,,,,,,,,,,
