System,Code,Description,Category
DM+D,A,British,White
DM+D,B,Irish,White
DM+D,C,Any other White background,White
DM+D,D,White and Black Caribbean,Mixed
DM+D,E,White and Black African,Mixed
DM+D,F,White and Asian,Mixed
DM+D,G,Any other mixed background,Mixed
DM+D,H,Indian,Asian or Asian British
DM+D,J,Pakistani,Asian or Asian British
DM+D,K,Bangladeshi,Asian or Asian British
DM+D,L,Any other Asian background,Asian or Asian British
DM+D,M,Caribbean,Black or Balck British
DM+D,N,African,Black or Balck British
DM+D,P,Any other Black background,Black or Balck British
DM+D,R,Chinese,Other Ethnic Groups
DM+D,S,Any other ethnic group,Other Ethnic Groups
DM+D,Z,Not stated,Not Stated